labels,shorrocks,shorrocks_survivors,exits_rate,pct_up,pct_stable,pct_down,bartholomew,bartholomew_surv
2021-2022,0.6946738725661158,0.3142182381776083,44.270056729137146,3.574286129150164,26.241206483043843,25.91445065866884,0.6120854162099612,0.32204349397551824
2022-2023,0.47097103595624557,0.11789088582191631,30.7051718075531,3.9867206150030206,42.09603111078609,23.212076466657784,0.44275784701501164,0.11736784362895461
2023-2024,0.18528787526862578,0.0955889853111227,21.672019538818173,7.16176226034794,66.79713249009735,4.369085710736533,0.18574366530073516,0.09238711493374191
2024-2025,0.1904907942067411,0.1047608321842044,21.517195787069728,8.34142163859549,66.64202613298876,3.499356441346014,0.18429633827119843,0.10150300184556726
